movie_id,title,genres,keywords,cast,director,overview
1,The Dark Knight,Action Crime Drama Thriller,gotham vigilante joker chaos,Christian Bale;Heath Ledger;Aaron Eckhart,Christopher Nolan,A vigilante billionaire faces a chaotic criminal mastermind who wants to prove anyone can fall into darkness.
2,Inception,Action Sci-Fi Thriller,dream heist subconscious corporate espionage,Leonardo DiCaprio;Joseph Gordon-Levitt;Elliot Page,Christopher Nolan,A thief who steals secrets from dreams is offered a chance to have his criminal history erased by planting an idea instead.
3,Interstellar,Adventure Drama Sci-Fi,space time travel wormhole survival,Matthew McConaughey;Anne Hathaway;Jessica Chastain,Christopher Nolan,A group of explorers travel through a wormhole in search of a new home for humanity as Earth becomes uninhabitable.
4,The Prestige,Drama Mystery Sci-Fi,magic rivalry obsession illusion,Christian Bale;Hugh Jackman;Scarlett Johansson,Christopher Nolan,Two rival stage magicians engage in a dangerous battle of one-upmanship to create the ultimate illusion.
5,Memento,Mystery Thriller,amnesia revenge nonlinear investigation,Guy Pearce;Carrie-Anne Moss;Joe Pantoliano,Christopher Nolan,A man with short-term memory loss uses notes and tattoos to hunt for the man he thinks killed his wife.
6,Avengers: Endgame,Action Adventure Sci-Fi,superhero team time travel sacrifice,Robert Downey Jr.;Chris Evans;Scarlett Johansson,Anthony Russo,The surviving heroes assemble to undo the devastation caused by a powerful villain and restore balance to the universe.
7,Avengers: Infinity War,Action Adventure Sci-Fi,superhero team villain artifact,Robert Downey Jr.;Chris Hemsworth;Chris Evans,Anthony Russo,Heroes from across the galaxy unite to stop a powerful being from collecting artifacts that could wipe out half of all life.
8,Iron Man,Action Adventure Sci-Fi,superhero technology weapons redemption,Robert Downey Jr.;Gwyneth Paltrow;Jeff Bridges,Jon Favreau,A billionaire industrialist builds a powered suit of armor after being held captive and becomes a technologically advanced hero.
9,Guardians of the Galaxy,Action Adventure Comedy,space team outlaws humor,Chris Pratt;Zoe Saldana;Dave Bautista,James Gunn,A group of misfit outlaws band together to protect a powerful artifact from falling into the wrong hands.
10,The Martian,Adventure Drama Sci-Fi,survival mars isolation science,Matt Damon;Jessica Chastain;Kristen Wiig,Ridley Scott,An astronaut stranded on Mars uses ingenuity and science to survive while awaiting rescue.
11,Gravity,Drama Sci-Fi Thriller,space survival isolation disaster,Sandra Bullock;George Clooney,Alfonso Cuaron,Two astronauts work to survive after debris destroys their space shuttle and leaves them stranded in orbit.
12,The Matrix,Action Sci-Fi,simulation hacker reality rebellion,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss,Lana Wachowski,A hacker discovers reality is a simulation and joins a rebellion to free humanity from machine control.
13,John Wick,Action Crime Thriller,assassin revenge underworld dog,Keanu Reeves;Michael Nyqvist;Alfie Allen,Chad Stahelski,A retired hitman seeks vengeance against the men who wronged him and reignites his legendary reputation.
14,Mad Max: Fury Road,Action Adventure Sci-Fi,wasteland chase warlord survival,Tom Hardy;Charlize Theron;Nicholas Hoult,George Miller,In a post-apocalyptic wasteland a woman rebels against a tyrannical ruler in search of her homeland with the aid of a drifter.
15,The Shawshank Redemption,Drama,prison friendship hope injustice,Tim Robbins;Morgan Freeman,Frank Darabont,A banker wrongly convicted of murder forms an enduring friendship with a fellow inmate over decades in prison.
16,The Godfather,Crime Drama,mafia family power loyalty,Marlon Brando;Al Pacino;James Caan,Francis Ford Coppola,The aging patriarch of an organized crime dynasty transfers control of his empire to his reluctant son.
17,Pulp Fiction,Crime Drama,nonlinear hitman crime boxer,John Travolta;Samuel L. Jackson;Uma Thurman,Quentin Tarantino,The lives of two hitmen a boxer and a gangster's wife intertwine in a series of violent comedic incidents.
18,Fight Club,Drama,insomnia identity underground rebellion,Brad Pitt;Edward Norton;Helena Bonham Carter,David Fincher,An insomniac office worker and a soap maker form an underground fight club that spirals into something much bigger.
19,Forrest Gump,Drama Romance,history destiny love simplicity,Tom Hanks;Robin Wright,Robert Zemeckis,A slow-witted but kind-hearted man recounts the historic events he unwittingly influenced across several decades.
20,The Green Mile,Drama Fantasy,prison miracle death row supernatural,Tom Hanks;Michael Clarke Duncan,Frank Darabont,A death row prison guard discovers one of his inmates possesses a miraculous supernatural healing gift.
21,Se7en,Crime Drama Mystery,serial killer detective sin investigation,Brad Pitt;Morgan Freeman;Gwyneth Paltrow,David Fincher,Two detectives hunt a serial killer who uses the seven deadly sins as his motive for a string of murders.
22,Gone Girl,Drama Mystery Thriller,marriage disappearance media deception,Ben Affleck;Rosamund Pike,David Fincher,A man becomes the prime suspect in his wife's disappearance as dark secrets about their marriage come to light.
23,The Social Network,Biography Drama,startup betrayal lawsuit technology,Jesse Eisenberg;Andrew Garfield,David Fincher,A Harvard student creates a revolutionary social networking website leading to lawsuits and fractured friendships.
24,La La Land,Comedy Drama Musical,jazz dreams romance hollywood,Ryan Gosling;Emma Stone,Damien Chazelle,A jazz pianist and an aspiring actress fall in love while pursuing their dreams in Los Angeles.
25,Whiplash,Drama Music,jazz mentor obsession ambition,Miles Teller;J.K. Simmons,Damien Chazelle,A young drummer enrolls at a competitive music school and is pushed to his limits by an abusive perfectionist instructor.
26,Titanic,Drama Romance,shipwreck class romance disaster,Leonardo DiCaprio;Kate Winslet,James Cameron,A young aristocrat falls in love with a poor artist aboard the ill-fated maiden voyage of a legendary ocean liner.
27,Avatar,Action Adventure Fantasy,alien planet colonization nature,Sam Worthington;Zoe Saldana,James Cameron,A paraplegic marine is sent to a lush alien world where he must choose between his mission and protecting its people.
28,Titan A.E.,Adventure Animation Sci-Fi,space alien ark survival,Matt Damon,Don Bluth,A young man searches for a legendary ship that holds the key to saving what remains of humanity.
29,Aliens,Action Horror Sci-Fi,space marines monster survival,Sigourney Weaver;Michael Biehn,James Cameron,A warrant officer joins a squad of marines to confront a colony overrun by deadly extraterrestrial creatures.
30,Terminator 2: Judgment Day,Action Sci-Fi,robot time travel apocalypse protector,Arnold Schwarzenegger;Linda Hamilton,James Cameron,A reprogrammed cyborg is sent back in time to protect a young boy destined to lead humanity's resistance.
31,Coco,Animation Family Fantasy,music family afterlife tradition,Anthony Gonzalez;Gael Garcia Bernal,Lee Unkrich,A boy is transported to the land of the dead where he uncovers the truth behind his family's ban on music.
32,Up,Animation Adventure Family,elderly balloon house journey,Edward Asner;Jordan Nagai,Pete Docter,An elderly widower ties thousands of balloons to his house to fulfil a lifelong promise to his late wife.
33,Inside Out,Animation Comedy Family,emotions childhood memory identity,Amy Poehler;Bill Hader,Pete Docter,The emotions inside a young girl's mind struggle to guide her through a difficult family relocation.
34,Toy Story,Animation Adventure Comedy,toys friendship jealousy adventure,Tom Hanks;Tim Allen,John Lasseter,A cowboy doll's world is upended when a new spaceman toy becomes his owner's favourite.
35,Finding Nemo,Animation Adventure Family,ocean father son search,Albert Brooks;Ellen DeGeneres,Andrew Stanton,An overprotective clownfish sets out across the ocean to find his son after he is captured by divers.
36,Spirited Away,Animation Family Fantasy,spirits bathhouse coming of age,Rumi Hiiragi;Miyu Irino,Hayao Miyazaki,A young girl wanders into a mysterious world of spirits and must work in a bathhouse to save her parents.
37,The Lion King,Animation Adventure Drama,kingdom betrayal legacy africa,Matthew Broderick;Jeremy Irons,Roger Allers,A young lion prince flees his kingdom after his father's death only to learn the true meaning of responsibility.
38,Black Panther,Action Adventure Sci-Fi,superhero kingdom africa legacy,Chadwick Boseman;Michael B. Jordan,Ryan Coogler,The new king of a technologically advanced African nation must defend his throne from a vengeful challenger.
39,Spider-Man: Into the Spider-Verse,Animation Action Adventure,superhero multiverse teenager legacy,Shameik Moore;Jake Johnson,Bob Persichetti,A teenager from Brooklyn becomes Spider-Man and teams up with alternate-universe counterparts to save reality.
40,Doctor Strange,Action Adventure Fantasy,magic multiverse surgeon sorcerer,Benedict Cumberbatch;Chiwetel Ejiofor,Scott Derrickson,A brilliant but arrogant surgeon discovers a hidden world of magic after a career-ending accident.
41,The Wolf of Wall Street,Biography Comedy Crime,stockbroker excess fraud wealth,Leonardo DiCaprio;Jonah Hill,Martin Scorsese,A stockbroker's rapid rise to wealth through fraud and excess leads to an equally dramatic downfall.
42,Goodfellas,Biography Crime Drama,mafia loyalty rise and fall,Robert De Niro;Ray Liotta;Joe Pesci,Martin Scorsese,A young man rises through the ranks of the mob drawn by the glamour before the violence catches up with him.
43,Shutter Island,Mystery Thriller,asylum investigation conspiracy identity,Leonardo DiCaprio;Mark Ruffalo,Martin Scorsese,A U.S. marshal investigating a psychiatric facility uncovers disturbing truths about the institution and himself.
44,Django Unchained,Drama Western,slavery revenge bounty hunter freedom,Jamie Foxx;Christoph Waltz;Leonardo DiCaprio,Quentin Tarantino,A freed slave partners with a bounty hunter to rescue his wife from a ruthless plantation owner.
45,Inglourious Basterds,Adventure Drama War,world war revenge cinema assassination,Brad Pitt;Christoph Waltz;Melanie Laurent,Quentin Tarantino,A group of Jewish soldiers and a cinema owner plot separate schemes to end the reign of Nazi leadership.
46,Kill Bill: Vol. 1,Action Crime Thriller,revenge assassin martial arts betrayal,Uma Thurman;Lucy Liu,Quentin Tarantino,A former assassin awakens from a coma and sets out to exact revenge on the team that betrayed her.
47,Parasite,Comedy Drama Thriller,class inequality family deception,Song Kang-ho;Lee Sun-kyun,Bong Joon Ho,A poor family schemes their way into the household of a wealthy family with unforeseen consequences.
48,Get Out,Horror Mystery Thriller,race family secrets hypnosis,Daniel Kaluuya;Allison Williams,Jordan Peele,A young man uncovers a disturbing secret when he visits his girlfriend's family estate for the weekend.
49,A Quiet Place,Drama Horror Sci-Fi,silence monsters survival family,Emily Blunt;John Krasinski,John Krasinski,A family must live in silence to avoid attracting deadly creatures that hunt by sound.
50,Her,Drama Romance Sci-Fi,loneliness artificial intelligence love,Joaquin Phoenix;Scarlett Johansson,Spike Jonze,A lonely writer develops an unexpected relationship with an intelligent operating system designed to meet his needs.
